$linux_ShowLogFileInExplorer,Reveal Log In File Manager,Finder에서 기록 살펴보기,,Linux version of Show Log In Explorer,,,,,,,,
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key,,,,,,,,
$mac_ctrl,Command,Command,,Mac version of ctrl key,,,,,,,,
$linux_ctrl,Ctrl,Ctrl,,Linux version of ctrl key,,,,,,,,
$win_FileMenuExit,Exit,나가기,,Windows version of the Exit main menu entry,,,,,,,,
$mac_FileMenuExit,Quit,끝내기,,Mac version of the Exit main menu entry,,,,,,,,
$linux_FileMenuExit,Exit,나가기,,Linux version of the Exit main menu entry,,,,,,,,
$win_IDEMenuHelpAbout,About,알아보기,,Windows version of the About main menu entry,,,,,,,,
$mac_IDEMenuHelpAbout,About GameMaker Studio 2,GameMaker Studio 2 알아보기,,Mac version of the About main menu entry,,,,,,,,
$linux_IDEMenuHelpAbout,About,알아보기,,Linux version of the About main menu entry,,,,,,,,
$win_IDEMenuViews,Windows,창,,Windows version of the views menu entry,,,,,,,,
$mac_IDEMenuViews,Window,창,,Mac version of the views menu entry,,,,,,,,
$linux_IDEMenuViews,Windows,창,,Linux version of the views menu entry,,,,,,,,
$win_LaptopRHSKeys,Right Control and Right Alt,우측 Ctrl과 Alt,,Windows version of laptop mode keys,,,,,,,,
$mac_LaptopRHSKeys,Right Command and Right Alt,우측 Command와 Alt,,Mac version of laptop mode keys,,,,,,,,
$linux_LaptopRHSKeys,Right Control and Right Alt,우측 Ctrl과 Alt,,Linux version of laptop mode keys,,,,,,,,
$win_LaptopLZoomKey,Left Control,좌측 Ctrl,,Windows laptop mode zoom key,,,,,,,,
$mac_LaptopLZoomKey,Left Command,좌측 Command,,Mac laptop mode zoom key,,,,,,,,
$linux_LaptopLZoomKey,Left Control,좌측 Ctrl,,Linux laptop mode zoom key,,,,,,,,
Account_Menu_Login,Login,로그인,,"Account menu ""Login""",,,,,,,,
Account_Menu_Logout,Logout,로그아웃,,"Acount menu ""Logout""",,,,,,,,
Account_Menu_ManageAccount,Manage Account,계정 관리,,"Account menu ""Account""",,,,,,,,
AnimationManager_InvalidTransition,The transition specified '{0}' is not valid,전환 '{0}'이 올바르지 않아요.,,The transition specified in the animation json is not a valid value,,,,,,,,
BackgroundLayer_HSpeed,Horizontal Speed,수평 속도,,Numeric textbox label for horizontal scroll speed,,,,,,,,
BackgroundLayer_HTile,Horizontal Tile,타일을 가로로 놓기,,Checkbox label for horizontal tiling,,,,,,,,
BackgroundLayer_NoBackground,<no background>,<배경 없음>,,no background selected caption for the background layer button,,,,,,,,
BackgroundLayer_PosX,X Offset,기준 X 좌표,,Numeric textbox label for x pos offset,,,,,,,,
BackgroundLayer_PosY,Y Offset,기준 Y 좌표,,numeric textbox label for y pos offset,,,,,,,,
BackgroundLayer_Stretch,Stretch,채우기,,Checkbox label for stretch,,,,,,,,
BackgroundLayer_VSpeed,Vertical Speed,수직 속도,,Numeric textbox label for vertical scroll speed,,,,,,,,
BackgroundLayer_VTile,Vertical Tile,타일을 세로로 놓기,,Checkbox label for vertical tiling,,,,,,,,
Breakpoints,Breakpoints,중단점,,Breakpoints,,,,,,,,
Breakpoint_Delete,Delete Breakpoint,중단점 지우기,,delete breakpoint menu option,,,,,,,,
Breakpoint_GotoCode,Go To Code,코드로 이동,,breakpoint show code menu option,,,,,,,,
Breakpoint_MenuToggle,Toggle Breakpoint,중단점 전환,,toggle breakpoint menu option,,,,,,,,
Breakpoint_Help,"There are no breakpoints to display.\nTo place one, press F9 on the desired line in a code editor."," press F9 on the desired line in a code editor.""",,Breakpoint help text to be displayed when there are no breakpoints,,,,,,,,
Build_FailedCompile,ERROR: Project failed to compile: error code {0},프로젝트 컴파일 실패: {0},,Error message when the project fails to compile,,,,,,,,
Build_FailedDeploy,ERROR: Project failed to deploy: error code {0},프로젝트 배포 실패: {0},,Error message when the project fails to deploy,,,,,,,,
Build_FailedRun,ERROR: Project failed to run: error code {0},프로젝트 실행 실패: {0},,Error message when the project fails to run,,,,,,,,
Button_Add,Add,추가,,Add button,,,,,,,,
Button_Cancel,Cancel,취소,,cancel button,,,,,,,,
Button_Delete,Delete,삭제,,Delete button,,,,,,,,
Button_Done,Done,완료,,Done button,,,,,,,,
Button_Import,Import,가져오기,,import button label,,,,,,,,
Button_Manage,Manage,관리,,Manage button,,,,,,,,
Button_No,No,아니요,,No,,,,,,,,
Button_OK,OK,확인,,ok button,,,,,,,,
Button_Rename,Rename,이름 바꾸기,,Rename button,,,,,,,,
Button_Resize,Resize,크기 조정,,resize button label,,,,,,,,
Button_Scale,Scale,비율 조절,,Image editor - scale button,,,,,,,,
Button_Yes,Yes,예,,Yes,,,,,,,,
Button_Next,Next,다음,,next button label,,,,,,,,
Button_Create,Create,생성,,create button label,,,,,,,,
Button_Apply,Apply,적용,,apply button label,,,,,,,,
Button_Remove_All,Remove All,모두 제거,,button label - remove all,,,,,,,,
Dialog_ResetLayout_Title,Reset Layout,레이아웃 초기화,,Reset layout dialog title,,,,,,,,
Dialog_ResetLayout,Resetting the project layout will close any open resources. Are you sure you want to reset the layout?,프로젝트 레이아웃을 초기화 시 열린 모든 자원이 닫힙니다. 레이아웃을 초기화할까요?,,Dialog message reset layout,,,,,,,,
Dialog_ResetLayout_ChoicePref,Automatic response to resetting the project layout,레이아웃 초기화,,Default reset layout dialog choice,,,,,,,,
LicenseNotification_TrialExpiring,Your trial is due to expire in {0} days,체험판이 {0}일 이내에 만료됩니다.,,Trial licence expiry notification,,,,,,,,
LicenseNotification_Expiring,Your licence is due to expire in {0} days,라이선스가 {0}일 이내에 만료됩니다.,,Licence expiry notification,,,,,,,,
LicenseNotification_BuyNow,Buy Now,라이선스 구매,,Buy Now label,,,,,,,,
LicenseNotification_ButtonBuyNow,BUY NOW,바로 구입하세요.,,BUY NOW label,,,,,,,,
IDE_License_Label,Your licence is due to expire in {0} days,라이선스가 {0}일 이내에 만료됩니다.,,IDE licence label,,,,,,,,
IDE_TrialLicense_Label,Your trial is due to expire in {0} days,체험판이 {0}일 이내에 만료됩니다.,,IDE trial licence label,,,,,,,,
marketplace_certificate_settings,Marketplace Certificate Settings,인증서 설정,,marketplace certificate settings pref,,,,,,,,
Certificate_GenerateSucceeded,Successfully created certificate file: {0},인증서 생성 성공: {0},,certificate create success,,,,,,,,
Certificate_GenerateFailed,Failed to create certificate file: {0},인증서 생성 실패: {0},,certificate create failed,,,,,,,,
Certificate_FileAlreadyExists,Certificate file '{0}' already exists; please choose a new filename,인증서 파일 '{0}'이 이미 있어요. 다른 파일 이름을 골라주세요.,,certificate file exists,,,,,,,,
Certificate_RequiredFieldsMissing,Name and Password fields must be set,이름 및 암호를 입력해야 해요.,,create certificate missing fields,,,,,,,,
Certificate_FileMissing,Unable to find certificate file '{0}',인증서 '{0}'를 찾을 수 없어요.,,certificate file missing,,,,,,,,
Certificate_Test_Title,Certificate Check,인증서 확인,,certificate test title,,,,,,,,
Certificate_PasswordFail,Password is NOT valid for certificate,올바르지 않은 암호예요.,,certificate password fail,,,,,,,,
Certificate_PasswordOK,Password is valid for certificate,올바른 암호예요.,,certificate password ok,,,,,,,,
CertProperties_Heading,Set .pem certificate file and password,.pem 인증서 파일과 암호 설정,,certificate properties heading,,,,,,,,
CertProperties_Heading2,(you can use an existing GameMaker:Studio marketplace certificate),(기존 GameMaker:Studio의 인증서를 사용할 수 있습니다),,certificate properties heading 2,,,,,,,,
CertProperties_CertificateFile,Certificate File:,인증서 파일,,certificate file label,,,,,,,,
CertProperties_CertificatePassword,Certificate Password:,인증서 암호,,certificate password label,,,,,,,,
CertProperties_Check,Check,검증,,certificate properties check certificate button label,,,,,,,,
CertProperties_CheckTooltip,Check that the password is valid for the selected certficate file,인증서의 암호를 제대로 입력했는지 확인하세요.,,certificate properties check tooltip,,,,,,,,
CertProperties_CreateInfoLabel,"If you don't have a certificate, you can create one:"," you can create one:""",,certificate properties create info,,,,,,,,
CertProperties_CreateNewCertificate,Create new certificate,인증서 만들기,,certificate properties create new certificate button label,,,,,,,,
CertProperties_CreateCertificate,Create Certificate,인증서 만들기,,certificate properties create certificate button label,,,,,,,,
CertProperties_EnterCertDetails,Enter new certificate details:,인증서 상세 입력:,,certificate properties enter certificate details,,,,,,,,
CertProperties_PublisherName,Publisher Name:,게시자 이름: ,,cert properties author name,,,,,,,,
CertProperties_CreatePublisherAccount,Create Publisher Account,게시자 계정 생성,,create publisher account button label,,,,,,,,
CodeWindow_2Column,2 columns,2단,,Document window layout menu option - 2columns,,,,,,,,
CodeWindow_3Column,3 columns,3단,,Document window layout menu option - 3 columns,,,,,,,,
CodeWindow_Fullscreen,Fullscreen workspace tab,작업공간의 탭을 전체 화면으로 열기,,Document window layout menu option - fullscreen workspace tab,,,,,,,,
CodeWindow_Menu_Help,Keyword help,단어 도움말,,Code window help menu option,,,,,,,,
CodeWindow_Menu_ShowResource,Show resource,자원 보기,,Code window show resource menu option,,,,,,,,
CodeWindow_SingleColumn,Single pane,1단,,Document window layout menu option - 1 column,,,,,,,,
CodeWindow_Title,Code,코드,,fullscreen code editor workspace tab title,,,,,,,,
CodeWindow_RestoreToWorkspace,Restore to Workspace,작업공간으로 되돌리기,,code editor restore to workspace context menu option,,,,,,,,
CodeWindow_GotoObject,Go to Object,이벤트 객체로 이동,,code editor go to object context menu option,,,,,,,,
CodeWindow_AddEvent,Add/Open Event,이벤트 추가 / 열기,,code editor event script add event context menu option,,,,,,,,
CodeWindow_OpenInheritedEvent,Open Inherited Event,상속된 이벤트 열기,,open inherited event context menu option,,,,,,,,
GotoLine_Title,Go To Line,해당 줄로 이동,,goto line dialog title,,,,,,,,
GotoLine_Label,Line Number ({0} - {1}),줄 번호 {0} - {1},,goto line label,,,,,,,,
CompileErrors,Compile Errors,컴파일 오류,,Compile Errors tab title,,,,,,,,
CompileErrors_NoErrors,There are no compile errors to show!,컴파일 오류가 없어요.,,No compile errors message,,,,,,,,
Configuration,Configuration,구성,,Configuration,,,,,,,,
Configuration_Select,Select Configuration,구성 선택,,Window title for config select,,,,,,,,
Configurations,Configurations,구성,,Configurations,,,,,,,,
Configurations_Add,Add New Configuration,구성 추가,,Add configuration window title,,,,,,,,
Configurations_Delete,Are you sure you want to delete configuration '{0}'?,정말로 구성 '{0}'을 지울까요?,,Confirm for deleting a configuration,,,,,,,,
Configurations_Delete_OtherConfigs,Are you sure? Deleting configuration '{0}' will also delete the following configurations: '{1}'.,정말로 지울까요? 구성 '{0}'을 삭제하면 구성 '{1}'이 함께 지워져요.,,Warning about deleting a configuration deleting child configs,,,,,,,,
Configurations_DeleteError,Cannot delete configuration '{0}',구성 '{0}'을 지울 수 없어요.,,Cannot delete a configuration error message,,,,,,,,
Configurations_DuplicateEntryError,Cannot duplicate existing configuration name,존재하는 구성의 이름을 복제할 수 없어요.,,Configuration name cannot be duplicated error message,,,,,,,,
Configurations_InvalidLicenseError,Cannot create configurations with GameMaker Studio 2 Trial,GameMaker Studio 2 체험판에서는 구성을 만들 수가 없어요.,,Cannot create configurations with the Trial version of GameMaker Studio 2 error message,,,,,,,,
Configurations_InvalidNameError,The configuration name '{0}' is not valid,구성 이름 '{0}'이 올바르지 않아요.,,Configuration name provided is invalid,,,,,,,,
Configurations_Manage,Manage Configurations,구성 관리,,Manage Configurations window title,,,,,,,,
Configurations_NameEmptyError,New configuration name cannot be empty,구성의 이름은 공란으로 둘 수 없어요.,,Configuration name cannot be empty error message,,,,,,,,
Configurations_NewName,New Configuration Name,새 구성 이름,,New configuration label,,,,,,,,
Configurations_Parent,Parent Configuration,부모 구성,,Choose parent configuration label,,,,,,,,
Configurations_Promote,Promote,승격,,Promotion of a config up the config hierarchy,,,,,,,,
Configurations_Rename,Rename Configuration,이름 바꾸기,,Rename configuration,,,,,,,,
Configurations_RenameError,Cannot rename '{0}' configuration,구성 '{0}'의 이름은 바꿀 수 없어요.,,Configuration name cannot be renamed error message,,,,,,,,
Configurations_ConfirmPromote,Are you sure? Promoting a configuration cannot be undone,확실한가요? 구성 승격은 취소할 수 없어요.,,Confirm the user really wants to promote a config,,,,,,,,
ContextMenu_AddMenuEntry,Add Menu Entry,메뉴 항목 추가하기,,Context menu option to add a menu entry at the end of the context menu,,,,,,,,
ContextMenu_AddMenuEntryAfter,Add Menu Entry Below,아래에 메뉴 항목 추가하기,,Context menu option to add a menu entry below the selected entry,,,,,,,,
ContextMenu_AddMenuEntryBefore,Add Menu Entry Above,위에 메뉴 항목 추가하기,,Context menu option to add a menu entry above the selected entry,,,,,,,,
ContextMenu_AddMenuSeparatorAfter,Add Menu Separator Below,아래에 메뉴 분리대 추가하기,,Context menu option to add a separator below the selected entry,,,,,,,,
ContextMenu_AddMenuSeparatorBefore,Add Menu Separator Above,위에 메뉴 분리대 추가하기,,Context menu option to add a separator above the selected entry,,,,,,,,
ContextMenu_AddSubMenuEntry,Add Sub Menu Entry,하위 메뉴 항목 추가하기,,Context menu option to add a sub menu entry at the end of the context menu,,,,,,,,
ContextMenu_AddSubMenuEntryAfter,Add Sub Menu Entry Below,아래에 하위 메뉴 항목 추가하기,,Context menu option to add a sub menu entry before the selected entry,,,,,,,,
ContextMenu_AddSubMenuEntryBefore,Add Sub Menu Entry Above,위에 하위 메뉴 항목 추가하기,,Context menu option to add a sub menu entry after the selected entry,,,,,,,,
ContextMenu_MoveEntryDown,Move Menu Item Down,메뉴 항목 아래로 이동시키기,,Context menu option to move a menu entry or separator down,,,,,,,,
ContextMenu_MoveEntryUp,Move Menu Item Up,메뉴 항목 위로 이동시키기,,Context menu option to move a menu entry or separator up,,,,,,,,
Dialog_AreYouSure,Are you sure?,확실한가요?,,"Generic ""Are you sure?"" dialog message",,,,,,,,
Dialog_Confirm,Confirm,확정,,"Dialog ""confirm"" heading",,,,,,,,
Dialog_Ignore,Ignore,무시,,dialog ignore label,,,,,,,,
Dialog_DeleteEvent_Query,Are you sure you want to remove the event with all its actions?,정말로 이 이벤트를 제거할까요?,,Delete event dialog confirmation query,,,,,,,,
Dialog_CutEvent_Query,Are you sure you want to cut the selected event?,정말로 이 이벤트를 잘라낼까요?,,Cut event dialog confirmation query,,,,,,,,
Dialog_DeleteEvent_Query_Multiple,Are you sure you want to remove {0} events with all their actions?,정말로 이벤트 {0}개를 없앨까요?,,Delete multiple event dialog confirmation query,,,,,,,,
Dialog_DeleteFrame_Query,Delete the selected frames?,선택된 프레임을 지울까요?,,image editor delete frames confirm query,,,,,,,,
Dialog_PasteEvent_NotReady,The event is still being copied. Please try pasting again in a few seconds.,아직 이벤트를 복사하고 있어요. 잠시 후에 다시 시도해주세요.,,Not ready to paste yet message,,,,,,,,
Dialog_DontShowAgain,Don't show this message again,다시 보지 않기,,Message next to checkbox to allow the user to choose not to see this popup in future,,,,,,,,
Dialog_Error,Error,오류,,error dialog title,,,,,,,,
Dialog_NotReady,Not Ready,준비되지 않음,,not ready dialog title,,,,,,,,
Dialog_Success,Success,성공,,success dialog title,,,,,,,,
Dialog_Invalid,Invalid,무효,,Dialog caption text for invalid input,,,,,,,,
Dialog_InvalidInput,Invalid input. Please provide the required information.,올바르지 않은 입력값이에요. 필요한 정보를 입력해주세요.,,A dialog message for invalid input in dialogs,,,,,,,,
Dialog_SaveChangesToX,Save the changes to {0}?,수정 사항을 {0}에 저장할까요?,,Save changes to X query,,,,,,,,
Dialog_Warning,Warning,경고,,"Dialog ""Warning"" title",,,,,,,,
DialogEditor_AddContextMenu,Add Context Menu,문맥 메뉴 추가하기,,Context menu option to add a context menu to the selected gadget,,,,,,,,
DialogEditor_Cell,Grid Cell,격자 칸,,Layout Hierarchy heading for a grid cell group,,,,,,,,
DialogEditor_ChildGadgets,Child Gadgets,하위 가젯,,Layout Hierarchy heading for a child gadgets group,,,,,,,,
DialogEditor_ChildWindows,Child Windows,하위 창,,Layout Hierarchy heading for a child windows group,,,,,,,,
DialogEditor_ClearLayoutList,Clear List,목록 초기화,,Button label for clearing the open layout list,,,,,,,,
DialogEditor_Client,Client Panel,클라이언트 창,,Layout Heirarchy heading for a client panel (window or tab),,,,,,,,
DialogEditor_ClippedGadget,Clip To Parent,부모에 귀속,,context menu option for setting if a gadget is clipped within its parent or not,,,,,,,,
DialogEditor_ColourDialog,Colour Dialog,색상 대화상자,,layout hierarchy label for a colour dialog window,,,,,,,,
DialogEditor_ColourSelected,Selected Colour Display,선택한 색 표시,,layout hierarchy label for the selected colour display,,,,,,,,
DialogEditor_ColumnSplitter,Grid Column Splitter,격자 열의 고정 구분자,,Layout Heirarchy heading for a grid column splitter,,,,,,,,
DialogEditor_ColumnDockSplitter,Grid Column Dock Splitter,격자 열의 도크 고정 구분자,,Layout Heirarchy heading for a grid column dock splitter,,,,,,,,
DialogEditor_RowDockSplitter,Grid Row Dock Splitter,격자 행의 고정 구분자,,Layout Heirarchy heading for a grid row dock splitter,,,,,,,,
DialogEditor_GridSplitter,Grid Splitter,격자 구분자,,gadget properties heading for a grid splitter,,,,,,,,
DialogEditor_DockSplitter,Grid Dock Splitter,격자 고정 구분자,,gadget properties heading for a grid dock splitter,,,,,,,,
DialogEditor_ContextMenu,Context Menu,문맥 메뉴,,Layout Heirarcy heading for a context menu,,,,,,,,
DialogEditor_CopyGadget,Copy Gadget,가젯 복사,,menu entry for copying a gadget to clipboard,,,,,,,,
DialogEditor_CutGadget,Cut Gadget,가젯 잘라내기,,menu entry for cutting a gadget to clipboard,,,,,,,,
DialogEditor_DeleteGadget,Delete Gadget,가젯 삭제,,menu entry for deleting the currently highlighted gadget,,,,,,,,
DialogEditor_DeleteLayout,Delete Layout,레이아웃 삭제,,Dialog editor delete layout menu entry,,,,,,,,
DialogEditor_DeleteLayout_AreYouSure,Are you sure you want to delete this layout?,정말로 이 레이아웃을 지울까요?,,Check the user really wants to delete the layout,,,,,,,,
DialogEditor_DuplicateLayoutName,Dialog Editor: Duplicate Layout Name,대화상자 편집기: 레이아웃 이름 복제,,log prompt for user to indicate the layout name is already in use,,,,,,,,
DialogEditor_DuplicateStyleName,A duplicate of stylename '{0}' was found in\n'{1}'\nthe style will continue to be saved in\n'{2}',스타일 이름 '{0}'이 \n'{1}'에 이미 있어요.\n스타일은 다음 위치에 저장돼요: \n'{2}'.,,warning message that a duplicate of a style name was found but will be ignored,,,,,,,,
DialogEditor_Error,Error,오류,,dialog editor error box title,,,,,,,,
DialogEditor_FailedToOpenJSON,Dialog Editor: Failed to open .json file: '{0}',대화상자 편집기: json 파일을 여는데 실패했어요: '{0}',,The .json file selected failed to load,,,,,,,,
DialogEditor_FileBrowse,Browse...,찾아보기...,,browse for filepath,,,,,,,,
DialogEditor_FileName,File name:,파일 이름: ,,layout file name,,,,,,,,
DialogEditor_FlattenSubLayout,Flatten SubLayout,하위 레이아웃 평탄화,,Context menu/menu bar entry for flattening a sub layout within a layout hierarchy,,,,,,,,
DialogEditor_Gadgets,Gadgets,가젯,,Layout Hierarchy heading for a gadgets group,,,,,,,,
DialogEditor_GUIBase,GUI Base,GUI 기반,,gadget properties heading for properties coming from the GUIBase class,,,,,,,,
DialogEditor_GUIStyle,Style,스타일,,Gadget properties heading for the guistyle class properties,,,,,,,,
DialogEditor_Hierarchy,Layout Hierarchy,레이아웃 계층,,the title for the layout hierarchy window,,,,,,,,
DialogEditor_HighlightedGadgetInfo,"relative position: ({0}px, {1}px) dimension: ({2}px, {3}px)", {1}px) dimension: ({2}px,,display position and dimension of the currently highlighted gadget,,,,,,,,
DialogEditor_HSVTextEntry,HSV Input,HSV 입력,,layout hierarchy label for the HSV input boxes,,,,,,,,
DialogEditor_InvalidJSON,The style '{0}' is not a valid json primitive. Please amend or revert the style. No changes will be saved.,스타일 '{0}'은 올바른 json 구조가 아니에요. 스타일을 수정하거나 되돌리세요. 수정 사항은 저장돼지 않아요.,,Error message when the user attempts to save a broken json style,,,,,,,,
DialogEditor_LabelAndIconCollection,Name And Icon,이름과 아이콘,,Gadget properties heading for the LabelAndIcon class properties,,,,,,,,
DialogEditor_Layout,Layout,레이아웃,,Gadget properties heading for the basic layout properties group,,,,,,,,
DialogEditor_LayoutName,Layout name:,레이아웃 이름 ,,layout name,,,,,,,,
DialogEditor_ListBoxItems,List Items,목록 항목,,The layout hierarchy label for the list items,,,,,,,,
DialogEditor_LoadLayoutXML,Load Layout File,레이아웃 파일 불러오기,,Button prompt for loading a layout xml file,,,,,,,,
DialogEditor_MenuBarEntry,Menu Bar Entry,메뉴 표시줄 개체,,layout hierarchy label for menubarentry gadget,,,,,,,,
DialogEditor_MenuEntry,Menu Entry,메뉴 개체,,Layout Hierarchy heading for a menu entry,,,,,,,,
DialogEditor_NewLayout,New Layout,새 레이아웃 만들기,,Dialog editor new layout menu entry,,,,,,,,
DialogEditor_Node,Tree View Node,트리 보기 노드,,Tree view node label in the gadget layout hierarchy,,,,,,,,
DialogEditor_NoJSONSelected,Dialog Editor: No JSON File Selected,JSON 파일이 선택되지 않았습니다.,,There was no .json file selected by the user,,,,,,,,
DialogEditor_NoLayoutSelected,Dialog Editor: No Layout Selected,레이아웃이 선택되지 않았습니다.,,log prompt for user to indicate no layout was selected,,,,,,,,
DialogEditor_NoXMLSelected,Dialog Editor: No XML File Selected,XML 파일이 선택되지 않았습니다.,,log prompt for user to indicate no xml file was selected,,,,,,,,
DialogEditor_OpenLayout,Open Layout,레이아웃 열기,,Dialog editor open layout menu entry,,,,,,,,
DialogEditor_OverridingStyleFile,The style name '{0}' is currently registered to\n'{2}'\nbut will now be saved to\n'{1}',스타일 이름 '{0}' (은)는\n현재 '{2}'\n에 등록되어 있습니다.\n'{1}' 에 저장됩니다.,,Message when the user overrides a styles save file,,,,,,,,
DialogEditor_PasteGadget,Paste Gadget,가젯 붙여넣기,,menu entry for pasting a gadget from clipboard,,,,,,,,
DialogEditor_Properties,Gadget Layout Properties,가젯 레이아웃 속성,,the title for the layout properties window,,,,,,,,
DialogEditor_RadioGroup,Radio Button Group,라디오 버튼 모음,,Layout hierarchy display name for radio button group,,,,,,,,
DialogEditor_ReloadImages,Reload Images,그림 다시 불러오기,,menu bar entry for reloading all images in the dialog editor,,,,,,,,
DialogEditor_RemoveTestLayout,Remove Active Test Layouts,활성화된 시험용 레이아웃 제거,,Menu option to remove any active test layout windows from the dialog editor,,,,,,,,
DialogEditor_RevertAllStyles,Revert All Styles To Last Save,모든 스타일을 마지막으로 저장한 상태로 되돌리기,,Revert the all the currently open styles to version on disk,,,,,,,,
DialogEditor_RevertAllStylesToOriginal,Revert All Styles To Original State,모든 스타일을 원래 상태로 되돌리기,,Revert the all the currently open styles to version of unmodified file on disk,,,,,,,,
DialogEditor_RevertStyle,Revert Style To Last Save,스타일을 마지막으로 저장한 상태로 되돌리기,,Revert the currently active style to version on disk,,,,,,,,
DialogEditor_RevertStyleToOriginal,Revert Style To Original State,스타일을 원래 상태로 되돌리기,,Revert the currently active style to version of unmodified file on disk,,,,,,,,
DialogEditor_RGBATextEntry,RGBA Input,RGBA 입력,,layout hierarchy label for the RGBA input boxes,,,,,,,,
DialogEditor_RowSplitter,Grid Row Splitter,격자 행 구분자,,Layout Heirarchy heading for a grid row splitter,,,,,,,,
DialogEditor_SaveAllStyles,Save All Styles,모든 스타일 저장,,Menu option to save all open styles to file,,,,,,,,
DialogEditor_SaveAsLayout,Save Layout As...,레이아웃을 다른 이름으로 저장,,Dialog editor save as layout menu entry,,,,,,,,
DialogEditor_SaveFailed,Dialog Editor: Save failed due to error: {0} - {1},오류 {0} - {1} 로 인해 저장이 실패하였습니다,,lop propmt for user to indicate the save failed,,,,,,,,
DialogEditor_SaveLayout,Save Layout,레이아웃 저장,,Dialog editor save layout menu entry,,,,,,,,
DialogEditor_SaveStyle,Save Style,스타일 저장,,Menu option to save a style to file,,,,,,,,
DialogEditor_SaveStyleAs,Save Style As...,스타일을 다른 이름으로 저장,,Menu option to save a style to a different file or with a different name,,,,,,,,
DialogEditor_ScrollPanel,Scroll Panel,스크롤 창,,layout hierarchy display name for scroll panel,,,,,,,,
DialogEditor_SelectContextMenu,Edit Context Menu,문맥 메뉴 편집,,Context menu option to select the context menu for the selected gadget so it can be edited,,,,,,,,
DialogEditor_SelectSaveFile,Select the file to save the style to. If the file doesn't already contain the style definition it will search all files within its folder.\nUse 'Save Style As...' to explicitly override save file,스타일을 저장할 파일을 선택하세요. 파일에 스타일 정의가 담고 있지 않으면 해당 폴더 내의 다른 파일을 검색합니다. \n '다른 이름으로 스타일 저장...'을 사용하여 명시적으로 저장할 수 있습니다.,,Information about selecting a save file. Informs the user that if the file they have chosen doesn't already include the stylename it will search for the file that does inside the parent folder,,,,,,,,
DialogEditor_StyleEditor,Style Editor,스타일 편집기,,the title for the style editor window,,,,,,,,
DialogEditor_StyleName,Style name:,스타일 이름,,style name,,,,,,,,
DialogEditor_StyleNotFound,The style wasn't found in this folder. It will append to the selected file unless an alternative is selected.,이 폴더에서 스타일을 찾을 수 없어요. 다른 파일을 선택하지 않으면 선택한 파일에 추가됩니다.,,Warning message that the style wasnt' found so it will be appended to the end of the given style instead,,,,,,,,
DialogEditor_SubMenuEntry,Sub Menu Entry,하위 메뉴 개체,,Layout hierarchy label for a sub menu entry,,,,,,,,
DialogEditor_TabControl,Tab Control Panel,탭 제어판,,Gadget toolbox display name for tab control,,,,,,,,
DialogEditor_TabItem,Tab,탭,,Layout Heirarchy heading for a tab,,,,,,,,
DialogEditor_TestLayout,Test Layout,시험용 레이아웃,,Dialog editor test layout menu entry,,,,,,,,
DialogEditor_Title,Dialog Editor,대화상자 편집기,,title for the dialog editor window,,,,,,,,
